price_aprox_usd,surface_covered_in_m2,lat,lon,neighbourhood
94022.66,57.0,23.634501,-102.552788,Benito Juárez
70880.12,56.0,19.4024128,-99.0953907,Iztacalco
68228.99,80.0,19.35782,-99.149406,Benito Juárez
24235.78,60.0,19.504985,-99.208557,Azcapotzalco
94140.2,50.0,19.354219,-99.126244,Coyoacán
76395.4,90.0,19.400785,-99.147419,Benito Juárez
40103.52,65.0,19.366632,-99.1979,Álvaro Obregón
68070.93,80.0,19.400731,-99.125466,Iztacalco
39409.48,61.0,19.337163,-99.080899,Iztapalapa
44794.13,55.0,19.435666,-99.14973,Cuauhtémoc
53399.87,60.0,19.2990233,-99.0436467,Tláhuac
35847.88,65.0,19.453854,-99.193979,Miguel Hidalgo
29962.59,60.0,19.458968,-99.152898,Azcapotzalco
35984.86,65.0,19.332034,-99.062028,Iztapalapa
16967.15,50.0,19.305214,-99.046887,Tláhuac
37196.65,64.0,19.370272,-99.149127,Benito Juárez
79820.02,70.0,19.386715,-99.143999,Benito Juárez
29969.69,70.0,19.458968,-99.152898,Azcapotzalco
68228.99,70.0,19.445471,-99.17317,Miguel Hidalgo
52440.59,70.0,19.443903,-99.171681,Miguel Hidalgo
62644.22,86.0,19.317741,-99.119331,Coyoacán
76940.5,60.0,19.365843,-99.149901,Benito Juárez
79029.72,80.0,19.365843,-99.149901,Benito Juárez
68597.8,90.0,19.399841,-99.154813,Benito Juárez
55847.67,70.0,19.465454,-99.162665,Azcapotzalco
61864.46,69.0,19.334546,-99.207876,Álvaro Obregón
37039.91,70.0,19.376392,-99.192439,Álvaro Obregón
41358.15,80.0,19.416439,-99.125632,Venustiano Carranza
91147.61,70.0,19.401456,-99.146787,Benito Juárez
47376.38,54.0,19.4045899,-99.0601489,Iztacalco
99530.03,62.0,19.4553585442,-99.1632923484,Cuauhtémoc
79556.59,90.0,19.440749,-99.141649,Cuauhtémoc
77141.75,90.0,19.484532,-99.207027,Azcapotzalco
66455.88,85.0,19.452143,-99.181477,Miguel Hidalgo
94858.16,64.0,19.386551,-99.193708,Álvaro Obregón
76395.4,64.0,19.466822,-99.157379,Azcapotzalco
31822.63,75.0,19.462425,-99.17654,Azcapotzalco
48340.87,49.0,,,Azcapotzalco
71126.75,75.0,19.474885,-99.188231,Azcapotzalco
30716.22,56.0,19.36994,-99.007399,Iztapalapa
54899.31,70.0,19.379525,-99.188914,Benito Juárez
68070.93,80.0,19.400731,-99.125466,Iztacalco
45837.24,70.0,19.480501,-99.178139,Azcapotzalco
62170.05,81.0,23.634501,-102.552788,Cuauhtémoc
55847.67,60.0,,,Azcapotzalco
98523.72,78.0,19.402752,-99.098587,Iztacalco
75375.18,90.0,19.465454,-99.162665,Azcapotzalco
49419.92,48.0,19.414261,-99.104118,Venustiano Carranza
65858.1,60.0,,,Álvaro Obregón
31875.32,70.0,19.405883,-99.183079,Miguel Hidalgo
42823.57,70.0,19.471896,-99.224024,Azcapotzalco
52698.97,63.0,19.309208,-99.171906,Coyoacán
47681.26,60.0,19.304501,-99.123121,Coyoacán
66384.96,75.0,19.36269,-99.150565,Benito Juárez
89514.33,51.0,19.400097,-99.122093,Iztacalco
76614.89,75.0,19.484532,-99.207027,Azcapotzalco
69546.15,65.0,19.278198,-99.200831,Tlalpan
38039.64,74.0,19.383251,-99.105499,Iztacalco
52067.41,75.0,19.461871,-99.129227,Cuauhtémoc
74498.68,60.0,19.422398,-99.167129,Cuauhtémoc
46256.62,52.0,,,Azcapotzalco
39585.14,75.0,19.453513,-99.210223,Miguel Hidalgo
34720.39,50.0,19.439037,-99.119514,Venustiano Carranza
39773.02,76.0,,,Coyoacán
47417.83,66.0,19.384327,-99.215523,Álvaro Obregón
34720.39,60.0,19.317698,-99.061256,Iztapalapa
68508.67,90.0,19.503195,-99.206723,Azcapotzalco
34246.21,59.0,19.524143,-99.160149,Gustavo A. Madero
31717.26,65.0,19.325608,-99.06112,Iztapalapa
85668.22,70.0,19.332149,-99.244008,Álvaro Obregón
89567.02,64.0,19.410307,-99.065399,Iztacalco
54899.31,60.0,19.379109,-99.187689,Benito Juárez
51632.75,85.0,19.452419,-99.175058,Miguel Hidalgo
68492.42,50.0,19.287188,-99.170525,Tlalpan
44203.95,60.0,19.475187,-99.175019,Azcapotzalco
46469.47,76.0,19.273716,-99.186416,Tlalpan
86827.32,75.0,19.396862,-99.172659,Benito Juárez
54688.57,69.0,19.422243,-99.127305,Iztacalco
75375.18,85.0,19.469418,-99.164299,Azcapotzalco
60603.82,53.0,19.262049,-99.1138,Xochimilco
60030.97,70.0,19.402944,-99.199727,Miguel Hidalgo
54372.45,75.0,19.379525,-99.188914,Benito Juárez
62433.48,70.0,19.346767,-99.123658,Coyoacán
68546.74,55.0,19.384808,-99.137496,Benito Juárez
76922.26,80.0,23.634501,-102.552788,Benito Juárez
38303.07,50.0,19.283388,-99.055038,Tláhuac
54688.57,70.0,19.456145,-99.201167,Miguel Hidalgo
47207.08,48.0,19.410307,-99.065399,Iztacalco
75815.85,90.0,19.334546,-99.207876,Álvaro Obregón
37201.39,85.0,19.370272,-99.149127,Benito Juárez
27198.6,70.0,19.307417,-99.125191,Coyoacán
90058.74,75.0,19.384808,-99.155339,Benito Juárez
68861.23,51.0,19.473415,-99.143539,Gustavo A. Madero
54952.0,89.0,19.44673,-99.161695,Cuauhtémoc
33930.09,60.0,19.302076,-99.049427,Tláhuac
93255.07,69.0,19.472155,-99.161186,Azcapotzalco
52100.61,52.0,19.456439,-99.144414,Cuauhtémoc
54829.08,66.0,19.368823,-99.224603,Álvaro Obregón
53158.13,90.0,19.395097,-99.150424,Benito Juárez
26870.1,64.0,19.320269,-99.055412,Iztapalapa
60589.45,65.0,19.468092,-99.088883,Cuauhtémoc
25306.04,60.0,,,Iztapalapa
36889.28,71.0,19.2818221685,-99.1876426712,Tlalpan
20582.81,70.0,19.418844,-99.132357,Cuauhtémoc
29682.82,70.0,,,Azcapotzalco
33297.85,70.0,19.397649,-99.093087,Iztacalco
55847.67,53.0,19.408805,-99.129702,Cuauhtémoc
94022.66,57.0,23.634501,-102.552788,Benito Juárez
46364.1,75.0,19.313878,-99.094271,Iztapalapa
51076.22,60.0,19.392025,-99.135302,Benito Juárez
90058.74,90.0,19.384808,-99.155339,Benito Juárez
46726.39,75.0,19.361114,-99.222666,Álvaro Obregón
31927.95,70.0,19.490331,-99.207579,Azcapotzalco
32314.35,60.0,19.3821,-99.204573,Álvaro Obregón
39524.23,66.0,19.461416,-99.133163,Cuauhtémoc
28398.01,69.0,19.363469,-99.010141,Iztapalapa
79575.45,75.0,19.440749,-99.141649,Cuauhtémoc
21795.44,55.0,19.45178,-99.15709,Cuauhtémoc
76395.4,64.0,19.478815,-99.196831,Azcapotzalco
24459.75,85.0,19.409843,-99.125509,Venustiano Carranza
70516.85,90.0,19.273713,-99.120741,Xochimilco
86862.09,80.0,19.348122,-99.125716,Coyoacán
76079.28,75.0,19.404442,-99.162688,Cuauhtémoc
81664.04,74.0,19.384506,-99.135865,Benito Juárez
31619.38,69.0,19.505199,-99.155991,Gustavo A. Madero
57968.87,73.0,19.3883217,-99.1862188,Miguel Hidalgo
94045.37,65.0,19.472155,-99.161186,Azcapotzalco
37934.26,56.0,19.391754,-99.056058,Iztapalapa
36880.53,75.0,,,Álvaro Obregón
71126.75,70.0,19.383446,-99.137643,Benito Juárez
53112.13,75.0,19.324386,-99.124228,Coyoacán
27133.53,60.0,19.452689,-99.117987,Venustiano Carranza
50327.52,72.0,19.3915,-99.038137,Iztapalapa
98502.65,89.0,19.436264,-99.099608,Venustiano Carranza
18444.64,60.0,19.422676,-99.097893,Venustiano Carranza
46633.43,64.0,,,Iztacalco
32279.21,70.0,19.457685,-99.121754,Venustiano Carranza
38777.25,65.0,19.511198,-99.200576,Azcapotzalco
26027.12,60.0,19.404918,-99.1978,Miguel Hidalgo
85878.96,78.0,19.396893,-99.152302,Benito Juárez
42676.05,58.0,19.443178,-99.144234,Cuauhtémoc
80139.33,50.0,19.4555330491,-99.1633956134,Cuauhtémoc
33982.78,70.0,19.448187,-99.161176,Cuauhtémoc
60076.83,67.0,19.461306,-99.127826,Cuauhtémoc
44203.95,50.0,19.419427,-99.067675,Iztacalco
51632.75,63.0,19.194247,-99.141976,Tlalpan
81664.04,67.0,19.474223,-99.18722,Azcapotzalco
42823.57,75.0,19.489901,-99.192497,Azcapotzalco
93333.36,90.0,19.39177,-99.159996,Benito Juárez
55320.8,64.0,19.385994,-99.106613,Iztacalco
79029.72,50.0,19.404661,-99.133858,Cuauhtémoc
47191.28,66.0,19.30241,-99.109299,Coyoacán
35475.54,60.0,19.455894,-99.18355,Miguel Hidalgo
25299.31,80.0,19.383948,-99.067884,Iztapalapa
27486.01,50.0,19.422817,-99.058911,Venustiano Carranza
53399.87,60.0,19.2990233,-99.0436467,Tláhuac
32138.75,66.0,19.446253,-99.157519,Cuauhtémoc
40568.59,53.0,19.383599,-99.190834,Benito Juárez
38039.64,74.0,19.383251,-99.105499,Iztacalco
46364.1,90.0,19.427118,-99.141954,Cuauhtémoc
60238.19,80.0,19.398983,-99.154034,Benito Juárez
90093.88,90.0,19.384371,-99.135965,Benito Juárez
84482.77,75.0,19.39557,-99.132937,Benito Juárez
68546.69,64.0,19.383446,-99.137643,Benito Juárez
44203.95,70.0,19.382649,-99.143384,Benito Juárez
33218.82,54.0,19.406759,-99.125172,Venustiano Carranza
47628.58,60.0,19.49662,-99.185876,Azcapotzalco
46375.1,70.0,19.39617,-99.13791,Benito Juárez
79029.72,65.0,19.370046,-99.146155,Benito Juárez
46954.78,60.0,19.359901,-99.189606,Álvaro Obregón
79556.59,80.0,19.427754,-99.171109,Cuauhtémoc
77533.42,85.0,19.396705,-99.181902,Benito Juárez
94308.8,57.0,19.298168,-99.113106,Tlalpan
90093.88,70.0,19.369509,-99.172532,Benito Juárez
39567.54,59.0,19.456595,-99.20456,Miguel Hidalgo
33200.35,50.0,19.4179232,-99.1483827,Cuauhtémoc
32474.95,86.0,19.307754,-99.12497,Coyoacán
43202.91,50.0,19.410307,-99.065399,Iztacalco
64857.06,80.0,19.461871,-99.129227,Cuauhtémoc
34387.36,60.0,19.527836,-99.169827,Gustavo A. Madero
46943.65,80.0,19.359897,-99.18956,Álvaro Obregón
60043.36,70.0,19.445816,-99.170462,Miguel Hidalgo
81372.59,60.0,19.444865,-99.156877,Cuauhtémoc
96416.26,62.0,19.377369,-99.198052,Álvaro Obregón
61881.11,70.0,19.352333,-99.121169,Coyoacán
39567.54,59.0,19.456595,-99.20456,Miguel Hidalgo
50327.52,76.0,19.4113101,-99.064722,Iztacalco
44783.51,56.0,19.392349,-99.07093,Iztacalco
34351.58,69.0,19.504602,-99.153096,Gustavo A. Madero
34421.87,55.0,19.384327,-99.215523,Álvaro Obregón
34720.39,50.0,19.439037,-99.119514,Venustiano Carranza
44167.29,49.0,19.357981,-99.080612,Iztapalapa
90884.18,70.0,19.445816,-99.170462,Miguel Hidalgo
39514.86,90.0,19.387651,-99.142257,Benito Juárez
54583.19,60.0,19.464437,-99.175369,Azcapotzalco
75815.85,70.0,19.334546,-99.207876,Álvaro Obregón
85547.99,85.0,19.347664,-99.125001,Coyoacán
18971.63,56.0,19.301945,-99.0495332,Tláhuac
32763.82,60.0,19.29312,-99.052935,Tláhuac
66384.96,80.0,19.36269,-99.150565,Benito Juárez
32911.5,54.0,19.324947,-99.083468,Iztapalapa
71670.61,80.0,19.391834,-99.188695,Benito Juárez
77449.13,50.0,19.360367,-99.192614,Álvaro Obregón
94308.8,57.0,19.298168,-99.113106,Tlalpan
60589.45,52.0,19.469681,-99.086136,Gustavo A. Madero
36692.81,60.0,19.392025,-99.135302,Benito Juárez
33930.09,60.0,19.301945,-99.049533,Tláhuac
36459.04,70.0,19.415143,-99.14685,Cuauhtémoc
34254.33,60.0,19.524143,-99.160149,Gustavo A. Madero
71653.61,70.0,19.393257,-99.157113,Benito Juárez
90726.12,91.0,19.336195,-99.23692,Álvaro Obregón
61288.91,80.0,19.410419,-99.194748,Miguel Hidalgo
42524.31,60.0,19.479793,-99.100174,Gustavo A. Madero
52943.48,80.0,19.400785,-99.147419,Benito Juárez
54758.8,66.0,19.497521,-99.203979,Azcapotzalco
39567.54,59.0,19.45789,-99.20016,Miguel Hidalgo
